customer_id,transaction_amount_bin_10,transaction_amount_bin_100
C0071,2,29
C0020,2,24
C0001,4,41
C0052,6,60
C0008,1,14
C0056,0,5
C0053,1,19
C0063,1,10
C0048,3,30
C0003,9,99
C0048,8,80
C0051,4,49
C0009,4,40
C0050,5,53
C0085,8,88
C0083,2,26
C0100,7,76
C0023,8,80
C0050,7,76
C0010,7,72
C0011,9,90
C0058,3,32
C0064,6,62
C0017,6,61
C0024,1,16
C0092,7,77
C0059,3,39
C0039,7,77
C0026,0,6
C0038,7,75
C0026,9,99
C0037,3,39
C0049,9,90
C0050,1,13
C0087,3,39
C0062,7,73
C0089,0,7
C0012,4,47
C0071,4,44
C0025,1,10
C0074,0,8
C0055,2,25
C0048,1,12
C0041,6,62
C0075,2,20
C0074,5,58
C0063,5,53
C0006,5,57
C0024,6,66
C0008,8,83
C0064,3,30
C0048,9,94
C0099,9,93
C0063,1,14
C0037,5,58
C0082,4,45
C0077,0,2
C0024,3,39
C0056,0,4
C0092,9,99
C0054,4,45
C0067,1,10
C0008,4,43
C0091,4,42
C0069,5,54
C0077,7,77
C0056,5,56
C0024,7,73
C0075,6,69
C0026,9,96
C0074,8,88
C0032,2,24
C0042,6,62
C0034,3,36
C0081,1,18
C0079,4,40
C0069,8,82
C0030,2,27
C0041,5,53
C0090,7,71
C0004,1,13
C0080,5,53
C0014,9,95
C0078,3,33
C0055,3,31
C0049,6,68
C0062,7,73
C0046,2,22
C0032,4,46
C0001,3,33
C0066,0,1
C0067,1,12
C0001,0,0
C0056,4,46
C0021,5,58
C0059,6,69
C0013,8,89
C0081,6,64
C0004,3,32
C0065,9,92
C0008,4,42
C0053,8,82
C0036,5,52
C0061,3,36
C0057,8,85
C0026,1,14
C0093,0,6
C0010,8,89
C0062,6,61
C0037,0,3
C0090,5,57
C0029,8,80
C0099,3,39
C0033,2,29
C0061,8,80
C0079,5,51
C0011,8,80
C0091,0,1
C0009,6,67
C0077,7,77
C0062,9,91
C0014,4,45
C0089,4,48
C0028,6,69
C0052,0,3
C0086,9,97
C0094,3,32
C0038,4,43
C0076,5,55
C0068,1,15
C0084,1,13
C0059,0,0
C0049,9,95
C0068,1,11
C0038,6,61
C0078,9,94
C0030,7,70
C0004,5,54
C0012,6,69
C0066,8,86
C0002,8,84
C0022,0,2
C0009,8,88
C0042,2,22
C0082,7,75
C0088,8,84
C0044,9,95
C0082,0,7
C0057,9,90
C0060,8,83
C0022,0,8
C0016,9,96
C0041,4,48
C0021,7,72
C0047,1,17
C0077,9,98
C0018,3,39
C0043,8,83
C0036,8,87
C0039,7,73
C0074,6,65
C0096,3,38
C0086,0,3
C0091,8,82
C0014,1,10
C0071,8,89
C0015,5,52
C0055,9,90
C0070,3,32
C0091,3,30
C0019,2,25
C0034,9,92
C0100,2,23
C0080,3,32
C0010,5,50
C0027,3,39
C0084,6,67
C0030,2,20
C0038,5,54
C0048,4,44
C0033,5,58
C0024,7,75
C0058,3,38
C0048,3,35
C0073,9,91
C0012,2,22
C0014,5,59
C0098,9,99
C0089,6,67
C0008,1,11
C0011,3,32
C0028,8,87
C0014,3,37
C0027,7,72
C0018,9,99
C0048,0,7
C0084,7,78
C0007,3,32
C0009,3,38
C0038,8,85
C0032,6,63
C0043,1,15
C0004,9,98
C0047,8,87
C0055,5,52
C0048,0,4
C0057,6,67
C0011,6,65
C0056,0,7
C0085,2,29
C0100,6,60
C0008,0,0
C0084,1,12
C0088,8,88
C0056,4,41
C0035,7,78
C0034,9,95
C0095,8,80
C0040,7,71
C0075,4,45
C0002,0,8
C0009,5,53
C0032,9,94
C0004,6,67
C0085,8,89
C0065,0,8
C0057,6,68
C0053,3,31
C0093,5,51
C0036,3,34
C0094,3,37
C0020,0,1
C0082,2,25
C0010,1,13
C0016,1,16
C0027,8,88
C0015,8,87
C0056,7,76
