customer_id,transaction_date,transaction_amount,discount_amount,transaction_quantity,transaction_duration,transaction_type
C0071,2024-01-01,302.65,64.04,9,50.95,subscription
C0020,2024-01-01,253.44,45.99,4,50.99,subscription
C0001,2024-01-01,421.78,36.36,7,30.54,refund
C0052,2024-01-01,612.14,182.55,9,33.21,refund
C0008,2024-01-01,154.25,0.19,4,9.26,subscription
C0056,2024-01-01,65.6,5.03,9,14.44,purchase
C0053,2024-01-01,199.68,55.01,4,6.51,subscription
C0063,2024-01-01,118.88,12.97,5,18.19,purchase
C0048,2024-01-01,315.67,32.06,5,57.87,subscription
C0003,2024-01-01,992.67,196.26,9,7.95,purchase
C0048,2024-01-01,805.62,138.54,2,30.46,purchase
C0051,2024-01-01,504.43,121.48,4,50.86,purchase
C0009,2024-01-01,409.48,97.85,5,52.51,purchase
C0050,2024-01-01,543.98,111.62,8,56.91,refund
C0085,2024-01-01,885.95,137.8,1,54.8,purchase
C0083,2024-01-01,270.94,61.85,1,49.73,subscription
C0100,2024-01-01,764.19,81.16,9,59.32,refund
C0023,2024-01-01,810.94,189.94,5,32.85,purchase
C0050,2024-01-01,766.46,91.86,6,58.69,refund
C0010,2024-01-01,729.9,3.52,8,56.78,subscription
C0011,2024-01-01,909.44,120.42,7,56.16,purchase
C0058,2024-01-01,335.85,89.26,2,53.08,purchase
C0064,2024-01-01,628.05,13.69,2,8.89,refund
C0017,2024-01-01,615.74,110.42,3,27.22,purchase
C0024,2024-01-01,176.34,18.77,8,37.08,refund
C0092,2024-01-01,777.77,105.77,2,34.4,refund
C0059,2024-01-01,399.82,16.5,2,53.97,purchase
C0039,2024-01-01,781.66,52.26,8,8.71,subscription
C0026,2024-01-01,74.58,1.74,5,12.5,refund
C0038,2024-01-01,753.28,32.51,7,46.34,purchase
C0026,2024-01-01,992.71,189.78,6,33.26,purchase
C0037,2024-01-01,399.6,65.84,7,47.62,refund
C0049,2024-01-01,902.35,169.7,2,35.26,purchase
C0050,2024-01-01,145.33,24.04,4,29.97,purchase
C0087,2024-01-01,402.61,113.35,1,42.42,refund
C0062,2024-01-01,733.83,41.77,3,22.74,subscription
C0089,2024-01-01,85.27,20.5,9,19.45,subscription
C0012,2024-01-01,480.45,136.22,6,9.08,refund
C0071,2024-01-01,451.55,0.69,1,42.16,subscription
C0025,2024-01-01,117.79,16.22,2,6.52,refund
C0074,2024-01-01,93.67,16.78,4,16.51,refund
C0055,2024-01-01,259.82,0.09,1,41.76,purchase
C0048,2024-01-01,130.81,4.91,9,20.07,refund
C0041,2024-01-01,624.76,63.63,2,16.8,subscription
C0075,2024-01-01,213.52,4.58,9,9.27,subscription
C0074,2024-01-01,588.4,43.8,2,34.14,subscription
C0063,2024-01-01,539.08,57.57,2,12.08,purchase
C0006,2024-01-02,582.12,127.05,3,34.75,refund
C0024,2024-01-02,671.13,119.44,9,59.4,purchase
C0008,2024-01-02,833.45,185.28,9,50.87,subscription
C0064,2024-01-02,316.14,89.96,8,18.86,subscription
C0048,2024-01-02,942.37,282.68,6,44.96,refund
C0099,2024-01-02,931.22,223.4,6,17.25,refund
C0063,2024-01-02,154.52,27.8,1,15.77,purchase
C0037,2024-01-02,589.46,86.54,8,8.24,purchase
C0082,2024-01-02,465.0,87.07,8,42.57,purchase
C0077,2024-01-02,36.25,6.37,4,36.65,refund
C0024,2024-01-02,402.38,56.0,7,46.74,purchase
C0056,2024-01-02,56.67,8.8,7,42.2,refund
C0092,2024-01-02,993.71,49.3,7,51.5,subscription
C0054,2024-01-02,458.23,114.86,7,47.63,purchase
C0067,2024-01-02,112.24,8.78,9,35.77,purchase
C0008,2024-01-02,437.01,67.59,8,6.21,subscription
C0091,2024-01-02,433.9,20.87,7,51.11,refund
C0069,2024-01-02,548.74,89.47,2,12.41,refund
C0077,2024-01-02,774.07,97.05,9,14.18,refund
C0056,2024-01-02,568.82,135.93,5,50.48,subscription
C0024,2024-01-02,733.76,4.18,9,54.57,refund
C0075,2024-01-02,698.67,198.02,1,10.64,purchase
C0026,2024-01-02,964.87,176.09,6,20.41,subscription
C0074,2024-01-02,881.54,34.85,5,40.69,subscription
C0032,2024-01-02,255.38,18.84,4,27.21,purchase
C0042,2024-01-02,628.84,181.44,8,27.02,purchase
C0034,2024-01-02,370.39,106.61,9,56.27,refund
C0081,2024-01-02,192.67,20.04,6,33.33,purchase
C0079,2024-01-02,415.18,76.32,8,41.11,purchase
C0069,2024-01-02,829.85,47.82,7,34.79,purchase
C0030,2024-01-02,281.79,50.47,2,27.24,refund
C0041,2024-01-02,538.9,142.68,1,50.35,subscription
C0090,2024-01-02,715.0,90.67,7,5.19,subscription
C0004,2024-01-02,143.78,19.63,3,6.53,subscription
C0080,2024-01-02,541.98,115.46,1,24.18,subscription
C0014,2024-01-02,950.71,18.04,8,48.16,purchase
C0078,2024-01-02,342.28,9.52,8,24.07,refund
C0055,2024-01-02,320.28,36.57,6,42.87,refund
C0049,2024-01-02,690.56,67.42,1,54.22,refund
C0062,2024-01-02,741.48,7.22,7,14.49,purchase
C0046,2024-01-02,228.42,33.71,3,30.91,purchase
C0032,2024-01-02,471.25,83.8,5,30.36,purchase
C0001,2024-01-02,343.98,25.7,7,40.9,refund
C0066,2024-01-02,29.13,1.09,3,32.11,subscription
C0067,2024-01-03,131.36,36.57,3,45.4,subscription
C0001,2024-01-03,11.99,3.14,3,24.51,purchase
C0056,2024-01-03,472.64,42.11,2,21.3,purchase
C0021,2024-01-03,592.23,67.65,7,8.76,refund
C0059,2024-01-03,698.69,192.44,6,17.08,purchase
C0013,2024-01-03,896.25,137.58,2,29.61,purchase
C0081,2024-01-03,650.59,10.85,4,44.08,subscription
C0004,2024-01-03,330.23,0.96,9,20.8,refund
C0065,2024-01-03,926.8,221.93,6,35.72,subscription
C0008,2024-01-03,435.03,53.23,6,14.97,purchase
C0053,2024-01-03,827.94,198.9,6,58.3,subscription
C0036,2024-01-03,528.83,145.13,5,19.42,refund
C0061,2024-01-03,375.19,47.72,1,10.68,refund
C0057,2024-01-03,855.48,246.01,3,59.65,purchase
C0026,2024-01-03,155.73,0.35,4,37.08,refund
C0093,2024-01-03,74.97,9.03,7,55.33,subscription
C0010,2024-01-03,897.94,159.02,6,56.41,subscription
C0062,2024-01-03,623.44,159.1,6,29.63,subscription
C0037,2024-01-03,40.59,2.45,4,8.99,subscription
C0090,2024-01-03,574.79,82.9,2,29.72,refund
C0029,2024-01-03,806.26,166.38,9,39.76,subscription
C0099,2024-01-03,404.19,112.67,2,14.45,subscription
C0033,2024-01-03,299.42,49.52,4,59.41,purchase
C0061,2024-01-03,803.93,168.03,8,33.99,refund
C0079,2024-01-03,522.21,60.99,2,59.62,purchase
C0011,2024-01-03,804.96,212.35,2,23.6,refund
C0091,2024-01-03,28.42,5.34,4,20.96,purchase
C0009,2024-01-03,682.84,183.02,9,59.22,purchase
C0077,2024-01-03,781.01,51.53,5,57.68,subscription
C0062,2024-01-03,919.45,247.78,2,38.05,refund
C0014,2024-01-03,457.52,94.96,2,55.44,refund
C0089,2024-01-03,494.39,42.43,7,36.01,subscription
C0028,2024-01-03,694.41,137.38,4,14.67,purchase
C0052,2024-01-03,41.11,1.33,7,30.42,refund
C0086,2024-01-03,977.47,253.2,1,58.49,refund
C0094,2024-01-03,336.83,66.36,4,32.57,refund
C0038,2024-01-03,438.82,9.36,4,41.32,purchase
C0076,2024-01-03,556.24,35.45,9,10.28,purchase
C0068,2024-01-03,159.97,19.22,9,12.17,purchase
C0084,2024-01-03,145.16,25.58,1,43.73,refund
C0059,2024-01-03,16.88,2.59,9,31.67,subscription
C0049,2024-01-03,956.6,121.73,3,21.53,purchase
C0068,2024-01-03,127.69,29.29,7,35.21,refund
C0038,2024-01-03,614.75,160.68,2,28.97,subscription
C0078,2024-01-03,941.07,196.17,4,54.75,refund
C0030,2024-01-03,708.53,108.86,2,34.47,subscription
C0004,2024-01-03,545.82,142.52,4,43.55,subscription
C0012,2024-01-03,693.72,106.85,2,25.51,purchase
C0066,2024-01-03,871.0,232.77,8,59.07,subscription
C0002,2024-01-03,847.89,172.58,4,43.77,subscription
C0022,2024-01-03,31.73,8.91,8,34.88,subscription
C0009,2024-01-03,888.42,2.92,5,15.81,subscription
C0042,2024-01-03,231.93,24.99,4,18.55,refund
C0082,2024-01-03,755.84,43.25,6,34.88,purchase
C0088,2024-01-04,841.59,109.37,3,26.07,subscription
C0044,2024-01-04,958.21,271.0,5,34.19,subscription
C0082,2024-01-04,82.95,23.43,7,9.14,subscription
C0057,2024-01-04,906.3,156.66,6,25.04,subscription
C0060,2024-01-04,832.02,63.2,1,21.16,purchase
C0022,2024-01-04,98.82,4.94,8,33.11,refund
C0016,2024-01-04,969.07,148.4,7,20.64,purchase
C0041,2024-01-04,493.45,96.62,4,18.59,refund
C0021,2024-01-04,729.38,101.57,3,17.6,purchase
C0047,2024-01-04,185.42,25.83,4,12.75,subscription
C0077,2024-01-04,989.94,143.22,9,58.59,refund
C0018,2024-01-04,400.27,30.26,5,36.11,purchase
C0043,2024-01-04,838.16,93.63,8,51.85,refund
C0036,2024-01-04,872.87,109.55,4,18.29,purchase
C0039,2024-01-04,738.0,169.97,8,34.88,refund
C0074,2024-01-04,661.66,170.02,7,36.89,refund
C0096,2024-01-04,393.49,58.8,8,50.87,purchase
C0086,2024-01-04,45.83,10.16,1,39.86,purchase
C0091,2024-01-04,822.47,111.32,1,37.94,purchase
C0014,2024-01-04,119.07,25.77,9,40.33,purchase
C0071,2024-01-04,894.01,202.21,6,59.34,refund
C0015,2024-01-04,529.08,70.97,1,9.87,refund
C0055,2024-01-04,903.0,255.77,6,42.46,refund
C0070,2024-01-04,327.68,50.35,6,12.8,purchase
C0091,2024-01-04,312.41,26.37,8,35.24,subscription
C0019,2024-01-04,262.15,61.42,8,41.89,subscription
C0034,2024-01-04,924.3,270.9,5,18.95,refund
C0100,2024-01-04,240.9,14.99,2,24.61,refund
C0080,2024-01-04,334.0,47.6,7,40.81,refund
C0010,2024-01-04,508.02,8.2,7,26.26,purchase
C0027,2024-01-04,397.76,74.21,9,55.03,purchase
C0084,2024-01-04,678.08,148.11,3,32.52,subscription
C0030,2024-01-04,216.42,38.41,6,40.97,subscription
C0038,2024-01-04,553.46,108.26,7,42.85,subscription
C0048,2024-01-04,446.96,18.87,6,21.89,subscription
C0033,2024-01-04,591.26,71.08,6,44.18,purchase
C0024,2024-01-04,760.6,143.85,8,26.12,refund
C0058,2024-01-04,391.84,99.95,2,41.73,purchase
C0048,2024-01-04,356.92,3.16,2,22.83,refund
C0073,2024-01-04,913.08,265.26,9,51.79,purchase
C0012,2024-01-05,231.91,2.0,7,16.33,subscription
C0014,2024-01-05,594.48,146.09,4,17.79,refund
C0098,2024-01-05,997.41,261.11,2,19.16,refund
C0089,2024-01-05,678.01,80.46,2,57.41,subscription
C0008,2024-01-05,123.65,34.93,1,5.38,subscription
C0011,2024-01-05,331.94,77.02,8,26.82,refund
C0028,2024-01-05,878.0,90.1,6,34.51,purchase
C0014,2024-01-05,378.56,12.28,7,9.89,purchase
C0027,2024-01-05,730.2,107.63,6,7.44,subscription
C0018,2024-01-05,992.34,143.07,8,53.19,refund
C0048,2024-01-05,88.27,21.18,1,56.58,purchase
C0084,2024-01-05,786.89,231.8,6,26.46,purchase
C0007,2024-01-05,334.02,69.17,7,7.11,purchase
C0009,2024-01-05,387.03,0.84,7,39.83,purchase
C0038,2024-01-05,860.55,241.83,8,36.57,subscription
C0032,2024-01-05,640.0,112.67,3,40.48,subscription
C0043,2024-01-05,164.49,12.55,6,23.1,purchase
C0004,2024-01-05,985.8,18.98,8,31.37,subscription
C0047,2024-01-05,872.09,153.47,1,9.51,refund
C0055,2024-01-05,530.1,23.32,9,55.28,refund
C0048,2024-01-05,52.05,2.5,6,42.29,refund
C0057,2024-01-05,677.89,192.99,7,44.81,subscription
C0011,2024-01-05,663.38,101.85,8,32.17,refund
C0056,2024-01-05,85.72,7.88,1,32.14,purchase
C0085,2024-01-05,303.65,81.02,9,41.87,subscription
C0100,2024-01-05,606.78,98.82,4,25.24,purchase
C0008,2024-01-05,14.33,4.17,2,58.93,refund
C0084,2024-01-05,138.19,28.02,6,36.48,subscription
C0088,2024-01-05,882.64,73.59,3,27.08,subscription
C0056,2024-01-05,420.14,24.36,6,21.01,purchase
C0035,2024-01-05,788.28,55.49,6,58.65,subscription
C0034,2024-01-05,955.93,10.59,3,8.82,refund
C0095,2024-01-05,810.36,193.02,6,19.0,refund
C0040,2024-01-05,720.09,54.11,8,34.38,subscription
C0075,2024-01-05,456.18,50.9,8,50.9,refund
C0002,2024-01-05,92.59,14.73,9,40.7,refund
C0009,2024-01-05,535.55,154.46,7,51.23,purchase
C0032,2024-01-05,940.77,228.46,3,19.99,purchase
C0004,2024-01-05,677.49,68.31,1,19.99,subscription
C0085,2024-01-05,896.77,262.03,4,23.01,purchase
C0065,2024-01-05,96.86,9.84,4,32.91,refund
C0057,2024-01-05,684.54,24.04,9,14.08,purchase
C0053,2024-01-05,325.14,25.04,8,20.01,refund
C0093,2024-01-05,523.1,113.34,5,36.31,subscription
C0036,2024-01-05,351.63,36.67,6,9.88,subscription
C0094,2024-01-05,378.02,89.6,1,6.37,purchase
C0020,2024-01-06,22.83,6.13,8,52.51,refund
C0082,2024-01-06,261.1,28.07,8,35.8,subscription
C0010,2024-01-06,142.46,21.79,3,41.09,subscription
C0016,2024-01-06,176.48,33.45,3,29.93,refund
C0027,2024-01-06,890.18,120.0,7,6.93,purchase
C0015,2024-01-06,872.48,34.9,7,14.04,purchase
C0056,2024-01-06,762.49,101.17,1,22.64,subscription
C0064,2024-01-06,802.49,55.45,2,30.21,refund
C0093,2024-01-06,715.33,177.8,9,37.44,subscription
C0067,2024-01-06,154.77,35.08,3,53.49,refund
C0038,2024-01-06,410.78,33.99,2,54.43,refund
C0004,2024-01-06,973.13,77.85,7,26.68,purchase
C0100,2024-01-06,250.32,6.4,2,32.72,purchase
C0085,2024-01-06,330.17,55.88,9,7.71,purchase
C0067,2024-01-06,19.64,2.1,9,36.11,refund
C0040,2024-01-06,863.84,101.26,8,29.53,subscription
C0082,2024-01-06,270.19,46.67,4,47.83,subscription
C0067,2024-01-06,200.1,40.02,9,38.14,refund
C0023,2024-01-06,280.99,79.46,4,36.31,subscription
C0019,2024-01-06,813.44,130.21,5,52.94,refund
C0030,2024-01-06,529.92,132.7,3,5.9,refund
C0081,2024-01-06,981.73,159.21,3,35.05,subscription
C0039,2024-01-06,546.87,82.04,7,28.53,subscription
C0033,2024-01-06,510.12,72.15,7,29.92,purchase
C0041,2024-01-06,143.15,13.75,3,9.57,purchase
C0051,2024-01-06,509.9,14.0,9,39.49,refund
C0060,2024-01-06,282.84,58.85,2,49.48,refund
C0075,2024-01-06,491.96,137.98,6,54.43,refund
C0093,2024-01-06,928.77,66.54,2,25.44,subscription
C0075,2024-01-06,950.14,82.39,4,6.33,purchase
