customer_id,transaction_amount^2,transaction_amount transaction_quantity,transaction_quantity^2
C0071,91597.02249999999,2723.85,81.0
C0020,64231.8336,1013.76,16.0
C0001,177898.36839999998,2952.46,49.0
C0052,374715.3796,5509.26,81.0
C0008,23793.0625,617.0,16.0
C0056,4303.36,590.4,81.0
C0053,39872.1024,798.72,16.0
C0063,14132.454399999999,594.4,25.0
C0048,99647.54890000001,1578.3500000000001,25.0
C0003,985393.7288999999,8934.029999999999,81.0
C0048,649023.5844,1611.24,4.0
C0051,254449.6249,2017.72,16.0
C0009,167673.8704,2047.4,25.0
C0050,295914.2404,4351.84,64.0
C0085,784907.4025000001,885.95,1.0
C0083,73408.48359999999,270.94,1.0
C0100,583986.3561000001,6877.710000000001,81.0
C0023,657623.6836000001,4054.7000000000003,25.0
C0050,587460.9316,4598.76,36.0
C0010,532754.01,5839.2,64.0
C0011,827081.1136000002,6366.08,49.0
C0058,112795.22250000002,671.7,4.0
C0064,394446.80249999993,1256.1,4.0
C0017,379135.7476,1847.22,9.0
C0024,31095.7956,1410.72,64.0
C0092,604926.1729,1555.54,4.0
C0059,159856.0324,799.64,4.0
C0039,610992.3555999999,6253.28,64.0
C0026,5562.176399999999,372.9,25.0
C0038,567430.7583999999,5272.96,49.0
C0026,985473.1441,5956.26,36.0
C0037,159680.16000000003,2797.2000000000003,49.0
C0049,814235.5225000001,1804.7,4.0
C0050,21120.808900000004,581.32,16.0
C0087,162094.8121,402.61,1.0
C0062,538506.4689000001,2201.4900000000002,9.0
C0089,7270.9729,767.43,81.0
C0012,230832.20249999998,2882.7,36.0
C0071,203897.4025,451.55,1.0
C0025,13874.484100000001,235.58,4.0
C0074,8774.0689,374.68,16.0
C0055,67506.43239999999,259.82,1.0
C0048,17111.256100000002,1177.29,81.0
C0041,390325.0576,1249.52,4.0
C0075,45590.790400000005,1921.68,81.0
C0074,346214.56,1176.8,4.0
C0063,290607.24640000006,1078.16,4.0
C0006,338863.6944,1746.3600000000001,9.0
C0024,450415.4769,6040.17,81.0
C0008,694638.9025000001,7501.05,81.0
C0064,99944.4996,2529.12,64.0
C0048,888061.2169,5654.22,36.0
C0099,867170.6884000001,5587.32,36.0
C0063,23876.430400000005,154.52,1.0
C0037,347463.09160000004,4715.68,64.0
C0082,216225.0,3720.0,64.0
C0077,1314.0625,145.0,16.0
C0024,161909.6644,2816.66,49.0
C0056,3211.4889000000003,396.69,49.0
C0092,987459.5641000001,6955.97,49.0
C0054,209974.7329,3207.61,49.0
C0067,12597.817599999998,1010.16,81.0
C0008,190977.7401,3496.08,64.0
C0091,188269.21,3037.2999999999997,49.0
C0069,301115.5876,1097.48,4.0
C0077,599184.3649,6966.63,81.0
C0056,323556.19240000006,2844.1000000000004,25.0
C0024,538403.7376,6603.84,81.0
C0075,488139.76889999997,698.67,1.0
C0026,930974.1169,5789.22,36.0
C0074,777112.7716,4407.7,25.0
C0032,65218.9444,1021.52,16.0
C0042,395439.7456,5030.72,64.0
C0034,137188.75209999998,3333.5099999999998,81.0
C0081,37121.728899999995,1156.02,36.0
C0079,172374.43240000002,3321.44,64.0
C0069,688651.0225000001,5808.95,49.0
C0030,79405.60410000001,563.58,4.0
C0041,290413.20999999996,538.9,1.0
C0090,511225.0,5005.0,49.0
C0004,20672.6884,431.34000000000003,9.0
C0080,293742.3204,541.98,1.0
C0014,903849.5041,7605.68,64.0
C0078,117155.59839999999,2738.24,64.0
C0055,102579.27839999998,1921.6799999999998,36.0
C0049,476873.1135999999,690.56,1.0
C0062,549792.5904,5190.360000000001,49.0
C0046,52175.69639999999,685.26,9.0
C0032,222076.5625,2356.25,25.0
C0001,118322.24040000001,2407.86,49.0
C0066,848.5568999999999,87.39,9.0
C0067,17255.449600000004,394.08000000000004,9.0
C0001,143.7601,35.97,9.0
C0056,223388.5696,945.28,4.0
C0021,350736.3729,4145.610000000001,49.0
C0059,488167.7161000001,4192.14,36.0
C0013,803264.0625,1792.5,4.0
C0081,423267.34810000006,2602.36,16.0
C0004,109051.85290000001,2972.07,81.0
C0065,858958.2399999999,5560.799999999999,36.0
C0008,189251.1009,2610.18,36.0
C0053,685484.6436000001,4967.64,36.0
C0036,279661.16890000005,2644.15,25.0
C0061,140767.5361,375.19,1.0
C0057,731846.0304,2566.44,9.0
C0026,24251.832899999998,622.92,16.0
C0093,5620.5009,524.79,49.0
C0010,806296.2436,5387.64,36.0
C0062,388677.43360000005,3740.6400000000003,36.0
C0037,1647.5481000000002,162.36,16.0
C0090,330383.54409999994,1149.58,4.0
C0029,650055.1876,7256.34,81.0
C0099,163369.5561,808.38,4.0
C0033,89652.33640000001,1197.68,16.0
C0061,646303.4448999999,6431.44,64.0
C0079,272703.28410000005,1044.42,4.0
C0011,647960.6016,1609.92,4.0
C0091,807.6964000000002,113.68,16.0
C0009,466270.46560000005,6145.56,81.0
C0077,609976.6201,3905.05,25.0
C0062,845388.3025000001,1838.9,4.0
C0014,209324.55039999998,915.04,4.0
C0089,244421.47209999998,3460.73,49.0
C0028,482205.24809999997,2777.64,16.0
C0052,1690.0321,287.77,49.0
C0086,955447.6009000001,977.47,1.0
C0094,113454.44889999999,1347.32,16.0
C0038,192562.9924,1755.28,16.0
C0076,309402.9376,5006.16,81.0
C0068,25590.4009,1439.73,81.0
C0084,21071.4256,145.16,1.0
C0059,284.9344,151.92,81.0
C0049,915083.56,2869.8,9.0
